country,forecast_date,predicted_sales,predicted_sales_lower,predicted_sales_upper
Brazil,2010-01-01,-8235.344000000001,-21061.773821895014,5344.390181408908
Brazil,2011-01-01,-5966.470482729571,-19256.983706405732,7228.392538514852
Brazil,2012-01-01,-3697.5969640780263,-17187.386344929626,10116.800164817683
Brazil,2013-01-01,-1422.507352362739,-14953.982490341397,11651.563519956024
Brazil,2014-01-01,846.3661674541618,-13054.120277067488,13609.47500207953
Brazil,2015-01-01,3115.2396868985034,-9508.567430697494,16110.174992181219
Brazil,2016-01-01,5384.67395181462,-7517.871572955988,19028.83604105225
Brazil,2017-01-01,7660.325846300859,-5538.203310991895,20753.750827907366
Brazil,2018-01-01,9929.760112664762,-3294.473840038791,22431.517270221804
Brazil,2019-01-01,12199.19437802627,-899.7194639469049,25060.59972422839
Brazil,2020-01-01,14468.628642436362,1217.7946429922079,27566.205819979696
Brazil,2021-01-01,16744.280534864563,4097.019152146421,28975.670145177875
Brazil,2022-01-01,19013.71479917137,5089.762127084712,31526.378962158145
Brazil,2023-01-01,21283.14906347818,8575.581729266973,35658.7939919249
Brazil,2023-12-31,23546.365699663602,10592.492652886769,37125.33002649909
Brazil,2024-12-31,25822.0175920918,12438.534518147711,38167.35038284702
Brazil,2025-12-31,28091.451856398617,14435.109906992524,41351.978177454635
Brazil,2026-12-31,30360.88612070542,17277.88299360063,43926.839615999
Brazil,2027-12-31,32630.32038501224,19500.03771822263,46429.72115522452
Brazil,2028-12-31,34905.972277440436,21724.103102258985,47547.85421404237
Brazil,2029-12-31,37175.406541747245,23854.147629040017,50089.29652066007
Germany,2010-01-01,-187535.54312,-405002.4467858342,26512.720040757835
Germany,2011-01-01,-126668.08572859308,-324595.4499257825,85352.08462571522
Germany,2012-01-01,-65800.62834353582,-275934.23237835267,152768.10058980135
Germany,2013-01-01,-4766.4107898131515,-211563.02825721388,201184.59042027238
Germany,2014-01-01,56101.046575367865,-150174.3785897171,254764.8533905011
Germany,2015-01-01,116968.50389987938,-90945.92204031517,319019.895295043
Germany,2016-01-01,177835.9612062661,-37952.93012215545,381638.0966317098
Germany,2017-01-01,238870.1786495606,29498.771111780825,462207.36744771583
Germany,2018-01-01,299737.6359337092,84477.4786529018,509810.72903719
Germany,2019-01-01,360605.09326073003,153299.69867197445,567624.3074322059
Germany,2020-01-01,421472.55060180026,199479.118491434,651050.0138736902
Germany,2021-01-01,482506.76813919115,284537.3580229397,698010.9988237874
Germany,2022-01-01,543374.2255193761,339481.2204580088,754958.6427249594
Germany,2023-01-01,604241.6828995611,388243.5026484265,820157.5567933199
Germany,2023-12-31,664942.38012254,449877.5082527178,876571.2216514869
Germany,2024-12-31,725976.5976599309,515306.11614612496,915842.3057610783
Germany,2025-12-31,786844.0550401161,578030.7617079769,997579.3541482332
Germany,2026-12-31,847711.5124203007,631925.3632385421,1052101.1999276718
Germany,2027-12-31,908578.9698004858,701584.8248043933,1124381.9104494588
Germany,2028-12-31,969613.1873378766,748919.4277499553,1181262.536988909
Germany,2029-12-31,1030480.6447180617,830357.0885527813,1255102.9169617067
India,2010-01-01,-13376.361570000001,-37337.98780698583,10191.066177143535
India,2011-01-01,-9643.113319399748,-32980.90180782937,12567.808283751641
India,2012-01-01,-5909.865064616072,-29743.101288340607,14620.008267364623
